
Monika Marchewka, FEMALE, 35, 1988, Лондон, Санкт-Петербург, Московский государственный университет, Central Saint Martins, Академия художеств, 9, 1, 2
Vicente Hemphill, MALE, 40, 1984, Нью-Йорк, Москва, Московский государственный университет, Академия живописи, БВШД, 10, 2, 1
Ольга Антонова, FEMALE, 35, 1988, Санкт-Петербург, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, Академия художеств, 11, 1, 2
Carl Krull, MALE, 35, 1988, Лондон, Москва, Московский государственный университет, Академия живописи, БВШД, 12, 1, 2
Joyce Polance, FEMALE, 37, 1986, Нью-Йорк, Санкт-Петербург, Московский государственный университет, Central Saint Martins, Академия художеств, 13, 1, 2
Gerald Garston, MALE, 35, 1988, Нью-Йорк, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 14, 1, 2
Nineli Khachikian, FEMALE, 39, 1984, Нью-Йорк, Москва, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 14, 1, 2
Екатерина Ермилкина, FEMALE, 35, 1988, Санкт-Петербург, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 13, 1, 2
Holly Osborne, FEMALE, 38, 1988, Нью-Йорк, Москва, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 13, 1, 2
Андрей Сафронов, MALE, 35, 1988, Нью-Йорк, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 15, 1, 2
Kai Samuels-Davis, FEMALE, 37, 1986, Нью-Йорк, Москва, Московский государственный университет, Central Saint Martins, БВШД, 13, 1, 2
Danny McCaw, MALE, 35, 1988, Лондон, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 13, 1, 2
Cinta Vidal, FEMALE, 35, 1988, Лондон, Москва, Московский государственный университет, Академия живописи, Академия художеств, 11, 1, 2
Ramon Enrich, MALE, 35, 1988, Нью-Йорк, Санкт-Петербург, Московский государственный университет, Академия живописи, Академия художеств, 16, 1, 2
Cinta Vidal, FEMALE, 35,1988, Лондон, Москва, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 11, 1, 2
William Maxen, MALE, 40, 1984, Нью-Йорк, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, Академия художеств, 10, 1, 2
Берри Крамер, FEMALE, 36, 1988, Калининград, Москва, Московский государственный университет, Central Saint Martins, БВШД, 17, 1, 2
