
Monika Marchewka, FEMALE, 35, 1988, Лондон, Санкт-Петербург, Московский государственный университет, Central Saint Martins, Академия художеств, 9
Vicente Hemphill, MALE, 40, 1984, Нью-Йорк, Москва, Московский государственный университет, Академия живописи, БВШД, 10
Ольга Антонова, FEMALE, 35, 1988, Санкт-Петербург, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, Академия художеств, 11
Carl Krull, MALE, 35, 1988, Лондон, Москва, Московский государственный университет, Академия живописи, БВШД, 12
Joyce Polance, FEMALE, 37, 1986, Нью-Йорк, Санкт-Петербург, Московский государственный университет, Central Saint Martins, Академия художеств, 13
Liz Rundorff Smith, FEMALE, 35, 1988, Лондон, Москва, Московский государственный университет, Академия живописи, БВШД, 13
Gerald Garston, MALE, 35, 1988, Нью-Йорк, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 14
Nineli Khachikian, FEMALE, 39, 1984, Нью-Йорк, Москва, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 14
Екатерина Ермилкина, FEMALE, 35, 1988, Санкт-Петербург, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 13
Holly Osborne, FEMALE, 38, 1988, Нью-Йорк, Москва, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 13
Андрей Сафронов, MALE, 35, 1988, Нью-Йорк, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 15
Kai Samuels-Davis, FEMALE, 37, 1986, Нью-Йорк, Москва, Московский государственный университет, Central Saint Martins, БВШД, 13
Danny McCaw, MALE, 35, 1988, Лондон, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 13
Cinta Vidal, FEMALE, 35, 1988, Лондон, Москва, Московский государственный университет, Академия живописи, Академия художеств, 11
Ramon Enrich, MALE, 35, 1988, Нью-Йорк, Санкт-Петербург, Московский государственный университет, Академия живописи, Академия художеств, 16
Cinta Vidal, FEMALE, 35,1988, Лондон, Москва, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, БВШД, 11
William Maxen, MALE, 40, 1984, Нью-Йорк, Санкт-Петербург, Московский государственный университет, СПбГХПА им. А.Л.Штиглица, Академия художеств, 10
Берри Крамер, FEMALE, 36, 1988, Калининград, Москва, Московский государственный университет, Central Saint Martins, БВШД, 17
